# Couche française pour verbs.txt. L'allemand n'est jamais traduit : les
# formes, la rection et l'exemple restent tels quels — c'est ce qu'on apprend.
#
# =radical|sens
# verbe|sens|à l'usage|traduction de l'exemple

=nehmen|prendre
losgehen|se mettre en route ; commencer|« jetzt geht's los! » = c'est parti !|Le film commence quand ?
untergehen|couler ; se coucher (soleil) ; se perdre dans le bruit|« die Welt geht nicht unter » = ce n'est pas la fin du monde|Le soleil se couche.
durchgehen|passer en revue, examiner ; s'emballer (cheval)|« jemandem etwas durchgehen lassen » = laisser passer quelque chose à quelqu'un|On reprend la liste encore une fois.

=stehen|être debout
stehen|être debout, se tenir ; se trouver ; aller bien (vêtement)|« das steht dir gut » = ça te va bien|Le livre est sur l'étagère.
verstehen|comprendre|« verstehst du? » — question de vérification ; « sich verstehen » = bien s'entendre|Je ne comprends pas un mot.
bestehen|réussir (un examen) ; exister ; consister (aus +D) ; insister (auf +D)|quatre sens bien distincts, tous courants|Elle a réussi son examen.
entstehen|naître, apparaître|le mot pour dire comment naissent des frais, des problèmes, des bâtiments|Cela entraîne des frais importants.
aufstehen|se lever, se mettre debout|« früh aufstehen » — le mot des lève-tôt|Je me lève à six heures.
ausstehen|rester en suspens ; supporter, tolérer|« ich kann ihn nicht ausstehen » = je ne peux pas le supporter|La réponse se fait toujours attendre.
anstehen|faire la queue ; être à l'ordre du jour|« was steht heute an? » = qu'est-ce qui est prévu aujourd'hui ?|On a fait la queue une heure.
gestehen|avouer, confesser|« ich muss gestehen… » = je dois avouer… — adoucit l'aveu|Il a avoué le vol.
widerstehen|résister (+D)|presque toujours à propos de tentations ou de chocolat|Je n'ai pas pu résister à la tentation.
überstehen|survivre, surmonter|« das haben wir überstanden! » = on s'en est sortis ! — après une épreuve quelconque|On a bien passé l'hiver.
zustehen|revenir de droit à quelqu'un|langage juridique et administratif : « mir steht Urlaub zu » = j'ai droit à des congés|Vous avez droit à une compensation.
feststehen|être décidé, ne faire aucun doute|« eins steht fest » = une chose est sûre|La date est fixée.

=halten|tenir
halten|tenir ; s'arrêter ; tenir (parole) ; prononcer (un discours)|« was hältst du davon? » = qu'en penses-tu ?|Le bus ne s'arrête pas ici.
behalten|garder pour soi ; retenir, se souvenir|« behalt es für dich » = garde ça pour toi|Tu peux garder le cadeau.
erhalten|recevoir ; préserver, entretenir|substitut soutenu de « bekommen » ; aussi « gut erhalten » = en bon état|Nous avons bien reçu votre demande.
verhalten|se comporter (toujours avec sich)|mot neutre d'observateur — ni éloge ni reproche, contrairement à « benehmen »|Comment le programme se comporte-t-il en cas d'erreur ?
anhalten|arrêter ; durer, se maintenir|« die Luft anhalten » = retenir son souffle|Le beau temps se maintient.
aufhalten|retarder ; se trouver quelque part (sich aufhalten)|« halt dich nicht damit auf » = ne perds pas de temps avec ça|Je ne vous retiendrai pas longtemps.
enthalten|contenir ; s'abstenir (sich enthalten)|le mot des étiquettes : « enthält Nüsse » = contient des noix|La TVA est incluse dans le prix.
unterhalten|divertir ; entretenir (une affaire) ; converser (sich unterhalten)|« sich unterhalten » = discuter — le sens le plus courant|On a longuement discuté.
aushalten|supporter, endurer|« nicht auszuhalten! » = insupportable !|Je ne supporte pas une telle chaleur.
abhalten|organiser (un événement) ; empêcher quelqu'un de faire quelque chose|« lass dich nicht abhalten » = ne te laisse pas arrêter par moi|La conférence a lieu en ligne.
einhalten|respecter (un délai, une règle)|vocabulaire des contrats et des échéances|Veuillez respecter le délai.
festhalten|retenir ; consigner par écrit ; se cramponner (an +D)|« halt dich fest! » = accroche-toi bien — au sens propre comme au figuré|On consigne le résultat par écrit.
zurückhalten|retenir ; se tenir en retrait|« sich zurückhalten » = ne pas se faire remarquer|Il s'est retenu avec difficulté.
durchhalten|tenir bon, persévérer|le mot de la salle de sport et des délais : « durchhalten! » = tiens bon !|Encore deux semaines, tiens bon !

=fallen|tomber
fallen|tomber|« es fällt mir schwer » = j'ai du mal à faire ça|Les prix baissent.
gefallen|plaire|en allemand « es gefällt mir » = ça me plaît, pas « je l'aime »|Le tableau me plaît beaucoup.
auffallen|sauter aux yeux, attirer l'attention|« mir ist aufgefallen, dass… » = j'ai remarqué que…|Tu as remarqué quelque chose ?
ausfallen|être annulé ; tomber en panne ; se dérouler (d'une certaine manière)|le mot de l'école et des chemins de fer : « der Unterricht fällt aus » = le cours est annulé|Le train est annulé aujourd'hui.
einfallen|venir à l'esprit ; envahir|« mir fällt nichts ein » = je ne trouve rien|Je n'arrive pas à me rappeler son nom.
überfallen|attaquer, dévaliser|aussi au figuré : « jemanden mit Fragen überfallen » = harceler quelqu'un de questions|La banque a été braquée.
zerfallen|se désagréger, se décomposer|se dit des empires comme des bâtiments et des atomes|Le bâtiment se délabre.
entfallen|être annulé, ne pas s'appliquer ; sortir de la tête|langage administratif : « der Punkt entfällt » = ce point ne s'applique pas|Son nom m'est sorti de la tête.
umfallen|tomber, se renverser|« umfallen » signifie aussi céder, changer de position sous la pression|Le vase s'est renversé.
befallen|frapper (maladie, ravageurs, peur)|un peu littéraire ; courant en jardinage et en médecine|Il a été saisi de peur.
anfallen|survenir, s'accumuler (frais, travail)|vocabulaire des factures : « es fallen Gebühren an » = des frais s'appliquent|Aucun frais ne s'applique ici.
hinfallen|tomber par terre|ce qu'on dit des enfants et du verglas : « ich bin hingefallen » = je suis tombé|Attention, ne tombe pas !

=ziehen|tirer
ziehen|tirer ; déménager (avec sein)|« es zieht » = il y a un courant d'air — phobie nationale|Il tire la porte vers lui.
anziehen|mettre (un vêtement) ; attirer ; grimper (prix)|« sich anziehen » = s'habiller|Mets une veste !
ausziehen|enlever (un vêtement) ; déménager, quitter un logement|le mot des locataires : « ich ziehe zum Ersten aus » = je déménage le premier|Elle déménage le mois prochain.
umziehen|déménager ; se changer (sich umziehen)|deux sens très différents du quotidien, distingués par sich|On déménage à Berlin.
beziehen|percevoir (un salaire, une allocation) ; emménager ; se référer (sich beziehen auf)|« ich beziehe mich auf Ihre E-Mail » — début classique d'un courrier professionnel|Il touche des allocations chômage.
erziehen|élever (un enfant)|à propos de l'éducation, pas de l'instruction — pour ça, « ausbilden »|Elle élève ses enfants avec sévérité.
einziehen|emménager ; percevoir (des taxes) ; rentrer (les épaules, etc.)|le pendant d'« ausziehen » (déménager)|On emménage samedi.
abziehen|soustraire ; retirer (des troupes) ; enlever, arracher|« Steuern abziehen » et « eine Show abziehen » = faire du cinéma|Soustrais les frais du bénéfice.
vorziehen|préférer ; avancer (une date)|« ich ziehe es vor, zu Hause zu bleiben » — façon un peu soutenue de dire « je préfère »|On avance la date.
zurückziehen|retirer, reprendre ; se retirer (sich zurückziehen)|« einen Antrag zurückziehen » et « sich zurückziehen » = se replier sur soi|Il a retiré sa demande.
überziehen|être à découvert (sur un compte) ; dépasser (le temps)|« das Konto überziehen » — vocabulaire bancaire|Elle est passée à découvert.
entziehen|retirer, priver de|« den Führerschein entziehen » — à propos de permis et de privilèges|On lui a retiré son permis.
aufziehen|élever (un enfant, un animal) ; remonter (un mécanisme) ; taquiner|« jemanden aufziehen » = taquiner quelqu'un|Elle a élevé trois enfants seule.

=geben|donner
geben|donner ; y avoir (es gibt)|« es gibt » = il y a — la structure la plus courante en allemand|Qu'est-ce qu'il y a à manger ?
angeben|indiquer, préciser ; se vanter|« gib nicht so an! » = arrête de frimer — courant chez les ados|Indiquez votre adresse.
aufgeben|abandonner, renoncer ; poster (une lettre) ; donner (des devoirs)|« gib nicht auf! » = n'abandonne pas|Je n'abandonne pas si facilement.
ausgeben|dépenser (de l'argent) ; distribuer ; payer une tournée|« ich geb einen aus » = je paie une tournée|Il dépense trop d'argent.
ergeben|donner comme résultat ; se rendre (sich ergeben)|« das ergibt Sinn » = ça a du sens (calque moderne)|Le contrôle n'a révélé aucun défaut.
vergeben|pardonner ; attribuer, distribuer (un contrat, une place)|« schon vergeben » = déjà pris — pour un poste comme pour une personne|Le contrat a été attribué à un autre.
zugeben|admettre, avouer ; ajouter (un ingrédient)|« ich muss zugeben… » = je dois admettre… — adoucit l'aveu|Il a admis son erreur.
abgeben|rendre, remettre ; céder une part|le mot de l'école et de la poste : « die Arbeit abgeben » = rendre le devoir|Je dois rendre mon exposé demain.
eingeben|saisir (des données)|vocabulaire informatique : « das Passwort eingeben » = saisir le mot de passe|Entrez le code.
begeben|se rendre (sich begeben)|nettement soutenu, annonces publiques et littérature|Veuillez vous rendre à la sortie.
nachgeben|céder|« ich gebe nach » = j'abandonne — met fin à la dispute|Il a fini par céder.
weitergeben|transmettre|« gib es bitte weiter » — pour une information comme pour un objet|Je transmettrai l'information.
herausgeben|publier, éditer ; remettre ; rendre la monnaie|« können Sie herausgeben? » = vous avez la monnaie ?|La maison d'édition publie le livre.

=fahren|conduire, aller
fahren|aller, rouler, conduire|verbe standard pour tout déplacement autre qu'à pied|Je vais au travail à vélo.
erfahren|apprendre (une nouvelle) ; vivre, faire l'expérience de|« ich habe erfahren, dass… » = j'ai appris que…|Quand l'as-tu appris ?
abfahren|partir, démarrer|« der Zug fährt ab » — vocabulaire des horaires|Le train part à dix heures.
anfahren|démarrer ; renverser (avec une voiture) ; rabrouer quelqu'un|« jemanden anfahren » = rabrouer quelqu'un|Elle m'a rabroué sans raison.
auffahren|percuter la voiture de devant ; sursauter, se dresser|vocabulaire d'assurance : « aufgefahren » = a percuté par l'arrière|Il m'est rentré dedans par l'arrière.
verfahren|procéder, agir ; se perdre au volant (sich verfahren)|« sich verfahren » = se perdre en voiture, jumeau de « sich verlaufen » pour le piéton|On s'est perdus en voiture.
überfahren|renverser, écraser ; griller (un feu rouge)|überfáhren, accent sur le radical ; la particule ne se sépare jamais, les deux sens sont un seul verbe|Il a grillé un feu rouge.
überfahren|faire traverser, passer en bac|ǘberfahren, accent sur la particule ; rare, on dit plutôt übersetzen|Le passeur nous fait traverser.
umfahren|contourner, éviter (un obstacle)|umfáhren, accent sur le radical : l'inséparable contourne|Je contourne l'obstacle.
umfahren|renverser, écraser (en roulant dessus)|úmfahren, accent sur la particule : le séparable renverse|Je renverse le panneau.
durchfahren|rouler sans s'arrêter|« wir fahren durch » = on ne s'arrête pas|On a roulé toute la nuit.
mitfahren|accompagner en voiture, se faire déposer|« Mitfahrgelegenheit » = covoiturage vient de là|Je peux venir avec toi ?
losfahren|démarrer, partir|« wann fahren wir los? » — la question avant tout trajet|On part à six heures.
einfahren|entrer en gare (train) ; engranger (récolte, profits)|« der Zug fährt ein » — annonces de gare|Le train entre en gare voie trois.
zusammenfahren|sursauter ; entrer en collision|« ich bin zusammengefahren » = j'ai sursauté|J'ai sursauté au fracas.

=sprechen|parler
sprechen|parler, converser|« sprechen » est un peu plus soutenu que « reden »|Vous parlez allemand ?
besprechen|discuter, mettre au point|« das besprechen wir morgen » — le mot des réunions|Il faut encore qu'on en discute.
versprechen|promettre ; se tromper en parlant (sich versprechen)|« ich verspreche es » et « ich habe mich versprochen » = un lapsus|Tu me l'avais promis !
entsprechen|correspondre (+D)|l'allemand des formulaires : « entspricht den Anforderungen » = répond aux exigences|Ça ne correspond pas à la réalité.
aussprechen|prononcer ; exprimer à voix haute|« aussprechen lassen » = laisser quelqu'un finir de parler|Laissez-moi finir.
ansprechen|aborder quelqu'un ; plaire, séduire|« das spricht mich an » = ça me parle, ça m'intéresse|Il m'a abordé dans la rue.
absprechen|se mettre d'accord, coordonner ; refuser quelque chose à quelqu'un|« das sprechen wir noch ab » = on réglera les détails|Il faut qu'on se mette d'accord sur la date.
widersprechen|s'opposer, contredire (+D)|« da muss ich widersprechen » — désaccord poli|Je me permets de vous contredire.
freisprechen|acquitter (au tribunal)|uniquement le langage juridique|Le tribunal l'a acquitté.
nachsprechen|répéter après quelqu'un|vocabulaire du cours de langue|Répétez après moi.

=setzen|poser, planter
setzen|planter, poser ; s'asseoir (sich setzen)|« setz dich! » = assieds-toi|Viens t'asseoir avec nous !
einsetzen|employer, engager ; commencer ; s'engager (sich einsetzen für)|« sich für jemanden einsetzen » = prendre la défense de quelqu'un|La pluie a commencé soudainement.
umsetzen|mettre en œuvre, réaliser ; convertir|allemand des affaires pour transformer un plan en action|On met l'idée en œuvre maintenant.
aussetzen|suspendre ; abandonner ; exposer à quelque chose|« da setzt bei mir der Verstand aus » = là, je ne comprends plus rien|Il saute un tour.
absetzen|déposer (quelqu'un) ; déduire (des impôts) ; destituer ; vendre|« kann ich das absetzen? » — question de déclaration fiscale|Je te déposerai à la gare.
ansetzen|fixer (une date) ; s'apprêter, se préparer à|« zum Sprung ansetzen » = se préparer à sauter|La réunion est fixée à lundi.
besetzen|occuper ; pourvoir (un poste) ; distribuer (des rôles)|« besetzt » = occupé — sur une porte de toilettes et au téléphone|La place est occupée.
ersetzen|remplacer ; dédommager|« nicht zu ersetzen » = irremplaçable|Il faut remplacer la pièce.
versetzen|muter (un employé, un élève) ; poser un lapin à quelqu'un|« jemanden versetzen » = ne pas venir à un rendez-vous|Il m'a posé un lapin.
durchsetzen|imposer, faire passer ; s'imposer (sich durchsetzen)|« sich durchsetzen » = savoir imposer son point de vue|Elle a imposé son idée.
fortsetzen|poursuivre, continuer|registre écrit ; à l'oral on dit plutôt « weitermachen »|On continue le travail demain.
übersetzen|traduire (un texte)|sens habituel — non séparable, accent sur « setz »|Tu peux traduire ça ?
übersetzen|faire traverser, traverser (en bateau)|sens rare et littéral — séparable, accent sur « über »|Le ferry va à Rügen.

=stellen|placer, poser
stellen|placer, poser debout ; poser (une question) ; régler (une montre)|« eine Frage stellen » — en allemand, on « pose » une question, littéralement « place »|Pose le vase sur la table.
vorstellen|présenter (quelqu'un) ; s'imaginer (sich vorstellen)|« stell dir vor! » = imagine-toi ! — pour commencer une histoire|Permettez-moi de me présenter.
herstellen|fabriquer, produire ; établir (un lien)|allemand de l'usine et de l'étiquette|L'appareil est fabriqué en Pologne.
darstellen|représenter, dépeindre ; constituer|« das stellt ein Problem dar » — style officiel|Le graphique montre les dépenses.
einstellen|embaucher ; régler ; arrêter, cesser|trois sens, tous présents dans n'importe quelle offre d'emploi|L'entreprise embauche dix personnes.
anstellen|embaucher ; se mettre dans la file (sich anstellen) ; faire une bêtise|« was hast du angestellt? » = qu'est-ce que tu as encore fait ?|Qu'est-ce que tu as encore fait ?
aufstellen|installer, dresser ; poser (une exigence), présenter (un candidat)|« einen Rekord aufstellen » = établir un record|On monte la tente.
bestellen|commander ; convoquer|le mot du restaurant et de la boutique en ligne|J'ai déjà commandé.
feststellen|constater, remarquer|« ich stelle fest, dass… » — un peu formel pour « je remarque que »|Le médecin a diagnostiqué une grippe.
umstellen|redisposer, déplacer ; passer à autre chose|« auf Sommerzeit umstellen » — à propos des horloges et des habitudes|On est passés à l'énergie verte.
abstellen|garer, poser ; éteindre ; empêcher|« stell das Radio ab » = éteins la radio|Où peut-on garer son vélo ?
zustellen|distribuer (le courrier) ; bloquer (une sortie)|vocabulaire de la poste|Le colis a été livré hier.
erstellen|créer, établir (un document, un rapport)|allemand de bureau et d'informatique : « einen Account erstellen » = créer un compte|Je ferai la facture aujourd'hui.
verstellen|régler ; bloquer le passage ; faire semblant (sich verstellen)|« sich verstellen » = jouer la comédie|Ne fais pas semblant, je te connais.

=lassen|laisser, permettre
lassen|laisser, permettre ; laisser faire (à quelqu'un)|« ich lasse mir die Haare schneiden » — le causatif qui piège tout le monde|Laisse-moi tranquille !
verlassen|quitter (un lieu, une personne) ; se fier (sich verlassen auf)|« verlass dich drauf! » = tu peux compter là-dessus !|Il a quitté la ville.
zulassen|autoriser, permettre ; laisser fermé|« das lässt keine Zweifel zu » = ça ne laisse aucun doute|Le médicament est autorisé dans l'UE.
entlassen|licencier ; laisser sortir (de l'hôpital)|euphémisme des ressources humaines pour « licencier »|Il a été licencié sans préavis.
überlassen|laisser, céder à l'appréciation de quelqu'un|« das überlasse ich dir » = je te laisse ça|Je te laisse la décision.
hinterlassen|laisser derrière soi (un message, une impression)|« eine Nachricht hinterlassen » — langage du répondeur|Elle a laissé une bonne impression.
auslassen|omettre, sauter ; passer sa colère sur quelqu'un|« lass deine Wut nicht an mir aus » = ne passe pas ta colère sur moi|Je saute le petit-déjeuner aujourd'hui.
nachlassen|faiblir, diminuer ; baisser en qualité|« die Schmerzen lassen nach » — mot du soulagement|La pluie diminue peu à peu.
weglassen|omettre, retirer|édition et cuisine : « den Zucker weglassen » = ne pas mettre de sucre|On peut supprimer ce paragraphe.
loslassen|lâcher|« lass los! » — au sens propre, et pour « lâche prise »|Lâche l'affaire.
unterlassen|s'abstenir de faire quelque chose|langage des mises en garde juridiques : « unterlassen Sie das » = cessez cela|Abstenez-vous de telles remarques.
einlassen|laisser entrer ; se mêler à (sich einlassen auf)|« darauf lasse ich mich nicht ein » = je ne m'engage pas là-dedans|Je ne vais pas m'embarquer dans cette dispute.

=tragen|porter
tragen|porter ; porter (des vêtements) ; assumer (frais, responsabilité)|un seul verbe pour porter un objet et porter un vêtement|Elle porte des lunettes.
beitragen|contribuer (zu +D)|« seinen Teil beitragen » = apporter sa part|Chacun peut apporter sa contribution.
vertragen|supporter (nourriture, critique) ; s'entendre (sich vertragen)|« ich vertrage keinen Kaffee » = je ne supporte pas le café ; « vertragt euch! » = réconciliez-vous ! — aux enfants|Je ne supporte pas le lait.
ertragen|endurer, supporter (une épreuve)|plus lourd qu'« aushalten » — c'est de la souffrance, pas de l'inconfort|Je ne supporte plus ce bruit.
übertragen|transmettre, diffuser ; transférer ; déléguer|« live übertragen » — diffusions en direct, et transmission de maladies|Le match est diffusé en direct.
auftragen|appliquer (peinture, crème) ; charger quelqu'un de|« dick auftragen » = en rajouter, exagérer|Appliquez la crème en fine couche.
eintragen|inscrire, consigner (dans une liste)|« trag dich in die Liste ein » — listes d'inscription|J'ai noté le rendez-vous.
betragen|s'élever à (une somme) ; se comporter (sich betragen)|factures : « die Summe beträgt 40 Euro » = le montant s'élève à 40 euros|Les frais s'élèvent à 300 euros.
vortragen|réciter, présenter, interpréter|conférences et lectures de poésie|Elle récite un poème.
nachtragen|ajouter après coup ; garder rancune|« das trage ich dir nicht nach » = je ne t'en veux pas|Il lui en veut encore.

=führen|mener
führen|mener ; diriger (une affaire) ; tenir (une liste)|« das führt zu nichts » = ça ne mène à rien|La route mène au lac.
ausführen|exécuter, réaliser ; exporter ; promener (un chien)|informatique : « ein Programm ausführen » = exécuter un programme|Le plan a été exécuté aussitôt.
einführen|introduire (une règle, un produit) ; importer|« eine Regel einführen » — langage réglementaire|L'entreprise introduit un nouveau système.
durchführen|mener à bien, réaliser (une étude, un événement)|le mot préféré des fonctionnaires : tout est toujours « durchgeführt »|Nous menons une enquête.
verführen|séduire ; tenter|publicité et desserts : « verführerisch » = tentant|L'odeur donne envie de grignoter.
aufführen|jouer, monter (une pièce) ; énumérer ; mal se tenir (sich aufführen)|« führ dich nicht so auf! » = ne fais pas de scène !|La pièce est jouée ce soir.
anführen|mener, être en tête ; citer (un argument, une source)|« Gründe anführen » — argumentation|Il est en tête du classement.
abführen|emmener (en arrestation) ; reverser (des impôts) ; purger|« Steuern abführen » — langage de la fiche de paie|Les impôts sont prélevés automatiquement.
vorführen|démontrer, présenter ; ridiculiser en public|« jemanden vorführen » = ridiculiser quelqu'un publiquement|Il présente le nouvel appareil.
entführen|kidnapper, détourner|langage journalistique ; aussi léger : « jemanden entführen » = enlever quelqu'un pour une surprise|L'avion a été détourné.

=schließen|fermer
schließen|fermer ; conclure, en déduire|« daraus schließe ich… » = j'en conclus…|Le magasin ferme à huit heures.
beschließen|décider, statuer ; clore|le mot des décisions formelles — parlements et comités|On a décidé de rester.
entschließen|se décider (uniquement sich entschließen zu)|plus lourd qu'« entscheiden » — c'est une résolution, pas un simple choix|Je me suis décidé à démissionner.
abschließen|fermer à clé ; conclure, terminer ; souscrire (une assurance)|« einen Vertrag abschließen » — langage des contrats|Tu as fermé la porte à clé ?
anschließen|brancher, raccorder ; se joindre (sich anschließen)|« da schließe ich mich an » = je me joins à cet avis|Branche l'imprimante.
ausschließen|exclure ; renvoyer|« das ist nicht auszuschließen » = ça ne peut pas être exclu|Je n'exclus pas cette possibilité.
einschließen|inclure, comprendre ; enfermer à l'intérieur|« inklusive » en prose : « Frühstück eingeschlossen » = petit-déjeuner inclus|Tout est compris dans le prix.
erschließen|mettre en valeur (un terrain, un marché) ; déduire|urbanisme et données : « neue Märkte erschließen » = conquérir de nouveaux marchés|Le quartier est en cours d'aménagement.
verschließen|fermer, boucher ; se fermer à quelque chose|« sich einer Idee verschließen » = refuser d'entendre parler d'une idée|Il se ferme à la vérité.
aufschließen|ouvrir (avec une clé) ; rattraper (dans une course)|le contraire physique d'abschließen|Tu peux m'ouvrir la porte ?

=werfen|jeter
werfen|jeter, lancer|« einen Blick werfen » = jeter un coup d'œil|Lance-moi le ballon !
vorwerfen|reprocher, accuser (jemandem etwas)|« ich werfe dir nichts vor » = je ne te reproche rien|On l'accuse d'escroquerie.
entwerfen|concevoir, esquisser|le verbe du designer : d'où « ein Entwurf » = une esquisse, un brouillon|Elle conçoit des meubles.
verwerfen|rejeter, écarter (une idée, un plan)|« den Plan wieder verworfen » — langage des discussions|L'idée a vite été écartée.
wegwerfen|jeter, se débarrasser de|d'où « Wegwerfgesellschaft » = société du jetable|Ne jette pas ça, s'il te plaît.
abwerfen|larguer (d'une hauteur) ; rapporter (un profit)|« Gewinn abwerfen » — allemand de l'investissement|Le placement ne rapporte presque rien.
einwerfen|glisser dans une boîte (une lettre) ; glisser une remarque ; briser (une vitre)|« darf ich kurz einwerfen… » = permettez-moi une remarque|Tu peux poster la lettre ?
umwerfen|renverser ; bouleverser|« das wirft mich um » = ça me bouleverse|La nouvelle m'a bouleversé.
unterwerfen|soumettre ; se soumettre (sich unterwerfen)|registre de manuel d'histoire|Ils ont soumis tout le pays.
auswerfen|jeter (un filet) ; dégager, verser (une somme)|pêche et finance|On jette le filet.

=treten|marcher, donner un coup de pied
