# Русский слой к verbs.txt. Немецкое не переводится: формы, управление и
# пример остаются как есть — их и учат.
#
# =корень|значение
# глагол|значение|как говорят|перевод примера

=nehmen|брать
zustehen|причитаться, полагаться по праву|юридический и кадровый язык: «mir steht Urlaub zu» = мне полагается отпуск|Вам полагается компенсация.
feststehen|быть решённым, не подлежать сомнению|«eins steht fest» = одно можно сказать точно|Дата назначена.

=halten|держать
halten|держать; останавливаться; сдержать (слово); произносить (речь)|«was hältst du davon?» = что ты об этом думаешь?|Автобус здесь не останавливается.
behalten|оставить себе; запомнить, удержать в памяти|«behalt es für dich» = оставь это при себе|Можешь оставить подарок себе.
erhalten|получать; сохранять, поддерживать|официальная замена «bekommen»; ещё «gut erhalten» = в хорошем состоянии|Мы получили ваш запрос.
verhalten|вести себя (только с sich)|нейтральное слово наблюдателя — без похвалы и упрёка, в отличие от «benehmen»|Как программа ведёт себя при ошибках?
anhalten|останавливать; продолжаться, держаться|«die Luft anhalten» = задержать дыхание|Хорошая погода держится.
aufhalten|задерживать; находиться где-л. (sich aufhalten)|«halt dich nicht damit auf» = не трать на это время|Я вас надолго не задержу.
enthalten|содержать; воздерживаться (sich enthalten)|слово с этикетки: «enthält Nüsse» = содержит орехи|В цену включён НДС.
unterhalten|развлекать; содержать (дело); беседовать (sich unterhalten)|«sich unterhalten» = разговаривать — самое ходовое значение|Мы долго разговаривали.
aushalten|выдерживать, терпеть|«nicht auszuhalten!» = невыносимо!|Я не выношу такую жару.
abhalten|проводить (мероприятие); удерживать кого-л. от чего-л.|«lass dich nicht abhalten» = не буду тебе мешать|Конференция проходит онлайн.
einhalten|соблюдать (срок, правило)|лексика договоров и дедлайнов|Пожалуйста, соблюдайте срок.
festhalten|удерживать; фиксировать, записывать; держаться (an +D)|«halt dich fest!» = держись крепче — и буквально, и в переносном смысле|Мы фиксируем результат письменно.
zurückhalten|сдерживать; держаться в стороне|«sich zurückhalten» = не высовываться|Он с трудом сдержался.
durchhalten|выдержать, продержаться|слово спортзала и дедлайна: «durchhalten!» = держись!|Осталось две недели — держись!

=fallen|падать
fallen|падать|«es fällt mir schwer» = мне это даётся тяжело|Цены падают.
gefallen|нравиться|по-немецки «es gefällt mir» = оно мне нравится, а не «я это люблю»|Картина мне очень нравится.
auffallen|бросаться в глаза, обращать на себя внимание|«mir ist aufgefallen, dass…» = я заметил, что…|Ты что-нибудь заметил?
ausfallen|отменяться; выходить из строя; получаться (каким-л.)|слово школы и железной дороги: «der Unterricht fällt aus» = урок отменён|Поезд сегодня отменён.
einfallen|приходить в голову; вторгаться|«mir fällt nichts ein» = мне ничего не приходит в голову|Я не могу вспомнить его имя.
überfallen|нападать, грабить|и в переносном смысле: «jemanden mit Fragen überfallen» = засыпать вопросами|Банк ограбили.
zerfallen|распадаться, разрушаться|говорят и про империи, и про здания, и про атомы|Здание разрушается.
entfallen|отменяться, не применяться; вылетать из головы|канцелярское: «der Punkt entfällt» = пункт не применяется|Имя вылетело у меня из головы.
umfallen|падать, опрокидываться|«umfallen» ещё = сдаться, поменять позицию под давлением|Ваза опрокинулась.
befallen|поражать (о болезни, вредителях, страхе)|слегка книжное; обычное в садоводстве и медицине|Его охватил страх.
anfallen|возникать, набегать (о расходах, работе)|лексика счетов: «es fallen Gebühren an» = взимается комиссия|За это плата не взимается.
hinfallen|падать, упасть|то, что говорят про детей и гололёд: «ich bin hingefallen» = я упал|Осторожно, не упади!

=ziehen|тянуть
ziehen|тянуть, тащить; переезжать (с sein)|«es zieht» = сквозит — национальная фобия|Он притягивает дверь.
anziehen|надевать; притягивать; расти (о ценах)|«sich anziehen» = одеваться|Надень куртку!
ausziehen|снимать (одежду); съезжать с квартиры|слово съёмного жилья: «ich ziehe zum Ersten aus» = съезжаю первого|Она съезжает в следующем месяце.
umziehen|переезжать; переодеваться (sich umziehen)|два совсем разных бытовых значения, различаются по sich|Мы переезжаем в Берлин.
beziehen|получать (зарплату, пособие); въезжать; ссылаться (sich beziehen auf)|«ich beziehe mich auf Ihre E-Mail» — стандартное начало делового письма|Он получает пособие по безработице.
erziehen|воспитывать|про воспитание, а не про обучение — для этого «ausbilden»|Она строго воспитывает детей.
einziehen|въезжать; взимать (сборы); втягивать|пара к «ausziehen» (съезжать)|Мы въезжаем в субботу.
abziehen|вычитать; выводить (войска); снимать, сдирать|«Steuern abziehen» и «eine Show abziehen» = устроить представление|Вычти расходы из прибыли.
vorziehen|предпочитать; переносить на более ранний срок|«ich ziehe es vor, zu Hause zu bleiben» — чуть официальное «я лучше»|Мы переносим дату на более ранний срок.
zurückziehen|отзывать, забирать назад; уединяться (sich zurückziehen)|«einen Antrag zurückziehen» и «sich zurückziehen» = замкнуться, уйти в себя|Он отозвал своё заявление.
überziehen|уходить в минус (по счёту); превышать (время)|«das Konto überziehen» — банковское слово|Она ушла в минус по счёту.
entziehen|лишать, отзывать|«den Führerschein entziehen» — про права и привилегии|У него отобрали права.
aufziehen|растить (ребёнка, животное); заводить (механизм); подтрунивать|«jemanden aufziehen» = подкалывать кого-то|Она вырастила троих детей одна.

=geben|давать
geben|давать; есть, имеется (es gibt)|«es gibt» = есть, имеется — самая ходовая конструкция в немецком|Что есть поесть?
angeben|указывать, называть; хвастаться|«gib nicht so an!» = не выпендривайся — ходовое у подростков|Укажите ваш адрес.
aufgeben|сдаваться, бросать; отправлять (письмо); задавать (уроки)|«gib nicht auf!» = не сдавайся|Я так просто не сдаюсь.
ausgeben|тратить (деньги); выдавать; проставляться|«ich geb einen aus» = с меня причитается|Он тратит слишком много денег.
ergeben|давать в результате; сдаваться (sich ergeben)|«das ergibt Sinn» = в этом есть смысл (современная калька)|Проверка не выявила дефектов.
vergeben|прощать; присуждать, распределять (заказ, место)|«schon vergeben» = уже занято — и о вакансиях, и о людях|Заказ отдали другому.
zugeben|признавать, сознаваться; добавлять (ингредиент)|«ich muss zugeben…» = должен признать… — смягчает признание|Он признал свою ошибку.
abgeben|сдавать, отдавать; делиться частью|слово школы и почты: «die Arbeit abgeben» = сдать работу|Мне завтра сдавать реферат.
eingeben|вводить (данные)|компьютерная лексика: «das Passwort eingeben» = ввести пароль|Введите код.
begeben|направляться, следовать (sich begeben)|подчёркнуто официальное, объявления и литература|Пройдите, пожалуйста, к выходу.
nachgeben|уступать, поддаваться|«ich gebe nach» = сдаюсь — этим спор заканчивается|В конце концов он уступил.
weitergeben|передавать дальше|«gib es bitte weiter» — и об информации, и о предметах|Я передам информацию дальше.
herausgeben|издавать; выдавать; давать сдачу|«können Sie herausgeben?» = у вас будет сдача?|Издательство выпускает книгу.

=fahren|ехать
fahren|ехать, ездить, водить|стандартный глагол для любого передвижения не пешком|Я езжу на велосипеде.
erfahren|узнавать (новость); испытывать на себе|«ich habe erfahren, dass…» = я узнал, что…|Когда ты об этом узнал?
abfahren|отправляться, отъезжать|«der Zug fährt ab» — лексика расписаний|Поезд отправляется в десять.
anfahren|трогаться с места; сбить (машиной); резко наорать|«jemanden anfahren» = накричать на кого-то|Она ни с того ни с сего на меня наорала.
auffahren|въехать в машину впереди; вскочить, вздрогнуть|страховое слово: «aufgefahren» = въехал в переднюю машину|Он въехал мне в зад.
verfahren|действовать, поступать; заблудиться за рулём (sich verfahren)|«sich verfahren» = заблудиться на машине, брат-близнец «sich verlaufen» для пешехода|Мы заблудились за рулём.
überfahren|сбить, переехать; проехать (на красный)|überfáhren, ударение на корень; приставка не отделяется, оба значения — один глагол|Он проехал на красный.
überfahren|перевозить на тот берег (на лодке)|ǘberfahren, ударение на приставку; редко, обычно говорят übersetzen|Паромщик перевозит нас на тот берег.
umfahren|объезжать, огибать (препятствие)|umfáhren, ударение на корень: неотделяемый объезжает|Я объезжаю препятствие.
umfahren|сбивать, сносить (наехав)|úmfahren, ударение на приставку: отделяемый сносит|Я сношу знак.
durchfahren|проезжать без остановок|«wir fahren durch» = мы едем без остановок|Мы ехали всю ночь.
mitfahren|ехать с кем-то, напроситься в машину|«Mitfahrgelegenheit» — слово про попутки идёт отсюда|Можно с тобой?
losfahren|трогаться, выезжать|«wann fahren wir los?» — вопрос перед поездкой|Мы выезжаем в шесть.
einfahren|прибывать (о поезде); собирать (урожай, прибыль)|«der Zug fährt ein» — объявления на вокзале|Поезд прибывает на третий путь.
zusammenfahren|вздрагивать; столкнуться|«ich bin zusammengefahren» = я аж подскочил|От грохота я вздрогнул.

=sprechen|говорить
sprechen|говорить, разговаривать|«sprechen» чуть официальнее, чем «reden»|Вы говорите по-немецки?
besprechen|обсуждать, проговаривать|«das besprechen wir morgen» — слово совещаний|Это нам ещё нужно обсудить.
versprechen|обещать; оговориться (sich versprechen)|«ich verspreche es» и «ich habe mich versprochen» = оговорка|Ты же мне обещал!
entsprechen|соответствовать (+D)|немецкий язык анкет: «entspricht den Anforderungen» = соответствует требованиям|Это не соответствует действительности.
aussprechen|произносить; высказывать вслух|«aussprechen lassen» = дать договорить|Дайте мне договорить.
ansprechen|заговорить с кем-л., обратиться; нравиться, цеплять|«das spricht mich an» = меня это цепляет|Он заговорил со мной на улице.
absprechen|договариваться, согласовывать; отказывать кому-л. в чём-л.|«das sprechen wir noch ab» = детали ещё обсудим|Нам нужно согласовать дату.
widersprechen|возражать, противоречить (+D)|«da muss ich widersprechen» — вежливое несогласие|Вынужден с вами не согласиться.
freisprechen|оправдывать (в суде)|только судебный язык|Суд его оправдал.
nachsprechen|повторять за кем-л.|лексика урока иностранного языка|Повторяйте за мной.

=setzen|сажать, ставить
setzen|сажать, класть; садиться (sich setzen)|«setz dich!» = садись|Садись к нам!
einsetzen|применять, задействовать; начинаться; заступаться (sich einsetzen für)|«sich für jemanden einsetzen» = вступиться за кого-то|Дождь начался внезапно.
umsetzen|воплощать, реализовывать; преобразовывать|деловой немецкий про превращение плана в дело|Теперь мы воплощаем идею.
aussetzen|приостанавливать; бросать (на произвол); подвергать чему-л.|«da setzt bei mir der Verstand aus» = у меня разум отказывает|Он пропускает один круг.
absetzen|высаживать; списывать (с налогов); смещать с должности; продавать|«kann ich das absetzen?» — вопрос из налоговой декларации|Я высажу тебя у вокзала.
ansetzen|назначать (дату); приступать, примеряться|«zum Sprung ansetzen» = приготовиться к прыжку|Встреча назначена на понедельник.
besetzen|занимать; заполнять (должность); распределять роли|«besetzt» = занято — надпись на двери туалета и гудки в телефоне|Место занято.
ersetzen|заменять; возмещать|«nicht zu ersetzen» = незаменимый|Нам нужно заменить деталь.
versetzen|переводить (сотрудника, ученика); продинамить|«jemanden versetzen» = не прийти на свидание|Он меня продинамил.
durchsetzen|продавливать, добиваться; утверждать себя (sich durchsetzen)|«sich durchsetzen» = уметь настоять на своём|Она продавила свою идею.
fortsetzen|продолжать|письменный регистр; в речи скорее «weitermachen»|Работу продолжим завтра.
übersetzen|переводить (текст)|обычное значение — неотделяемая, ударение на «setz»|Можешь это перевести?
übersetzen|переправлять, переправляться (на лодке)|редкое и буквальное — отделяемая, ударение на «über»|Паром идёт на Рюген.

=stellen|ставить
stellen|ставить; задавать (вопрос); ставить (часы)|«eine Frage stellen» — по-немецки вопрос ставят|Поставь вазу на стол.
vorstellen|представлять (кого-л.); представлять себе (sich vorstellen)|«stell dir vor!» = представляешь! — так начинают историю|Разрешите представиться.
herstellen|производить, изготавливать; устанавливать (связь)|немецкий с завода и с этикетки|Прибор сделан в Польше.
darstellen|изображать, представлять собой|«das stellt ein Problem dar» — официальный стиль|На графике показаны расходы.
einstellen|нанимать; настраивать; прекращать|три значения, и все три встречаются в любой вакансии|Фирма нанимает десять человек.
anstellen|нанимать; вставать в очередь (sich anstellen); натворить|«was hast du angestellt?» = что ты опять натворил?|Что ты опять натворил?
aufstellen|устанавливать, ставить; выдвигать (требование, кандидата)|«einen Rekord aufstellen» = поставить рекорд|Мы ставим палатку.
bestellen|заказывать; вызывать к себе|слово ресторана и интернет-магазина|Я уже заказал.
feststellen|устанавливать, констатировать, замечать|«ich stelle fest, dass…» — слегка официальное «отмечаю, что»|Врач диагностировал грипп.
umstellen|переставлять; переходить на что-то другое|«auf Sommerzeit umstellen» — про часы и привычки|Мы перешли на зелёную энергию.
abstellen|ставить, парковать; выключать; пресекать|«stell das Radio ab» = выключи радио|Где можно поставить велосипед?
zustellen|доставлять (почту); загораживать (выход)|язык почтовой службы|Посылку доставили вчера.
erstellen|создавать, составлять (документ, отчёт)|немецкий из офиса и IT: «einen Account erstellen» = создать аккаунт|Счёт я составлю сегодня.
verstellen|регулировать; загораживать; притворяться (sich verstellen)|«sich verstellen» = ломать комедию|Не притворяйся, я тебя знаю.

=lassen|позволять, оставлять
lassen|позволять, давать; оставлять; поручать сделать|«ich lasse mir die Haare schneiden» — каузатив, на котором спотыкаются|Оставь меня в покое!
verlassen|покидать (место, человека); полагаться (sich verlassen auf)|«verlass dich drauf!» = можешь на это положиться|Он уехал из города.
zulassen|допускать, разрешать; оставлять закрытым|«das lässt keine Zweifel zu» = это не оставляет сомнений|Препарат разрешён в ЕС.
entlassen|увольнять; выписывать (из больницы)|кадровый эвфемизм для «уволить»|Его уволили без предупреждения.
überlassen|предоставлять, отдавать на усмотрение|«das überlasse ich dir» = оставляю это на тебя|Решение я оставляю за тобой.
hinterlassen|оставлять после себя (сообщение, впечатление)|«eine Nachricht hinterlassen» — язык автоответчика|Она оставила хорошее впечатление.
auslassen|пропускать, опускать; срывать (злость на ком-л.)|«lass deine Wut nicht an mir aus» = не срывай на мне злость|Я сегодня пропускаю завтрак.
nachlassen|ослабевать, стихать; сдавать (о качестве)|«die Schmerzen lassen nach» — слово облегчения|Дождь понемногу стихает.
weglassen|опускать, убирать|редактура и кухня: «den Zucker weglassen» = не класть сахар|Этот абзац можно убрать.
loslassen|отпускать|«lass los!» — и буквально, и про «отпусти ситуацию»|Отпусти уже.
unterlassen|воздерживаться от чего-л., не делать|язык юридических предупреждений: «unterlassen Sie das» = прекратите|Воздержитесь от таких замечаний.
einlassen|впускать; ввязываться (sich einlassen auf)|«darauf lasse ich mich nicht ein» = я в это не полезу|Я не буду ввязываться в спор.

=tragen|нести, носить
tragen|нести; носить (одежду); нести (расходы, ответственность)|один глагол и для «нести», и для «носить одежду»|Она носит очки.
beitragen|вносить вклад (zu +D)|«seinen Teil beitragen» = внести свою лепту|Каждый может чем-то помочь.
vertragen|переносить (еду, критику); ладить (sich vertragen)|«ich vertrage keinen Kaffee» = мне нельзя кофе; «vertragt euch!» = помиритесь! — детям|Я не переношу молоко.
ertragen|терпеть, выносить (тяжёлое)|тяжелее, чем «aushalten» — про страдание, а не про неудобство|Я больше не выношу этот шум.
übertragen|передавать, транслировать; переносить; делегировать|«live übertragen» — трансляции, и передача болезней|Матч транслируют в прямом эфире.
auftragen|наносить (краску, крем); поручать|«dick auftragen» = сгущать краски, привирать|Наносите крем тонким слоем.
eintragen|вносить, записывать (в список)|«trag dich in die Liste ein» — списки записи|Я записал встречу.
betragen|составлять (сумму); вести себя (sich betragen)|счета: «die Summe beträgt 40 Euro» = сумма составляет 40 евро|Расходы составляют 300 евро.
vortragen|выступать, декламировать, исполнять|конференции и чтение стихов|Она читает стихотворение.
nachtragen|дописывать, добавлять позже; держать обиду|«das trage ich dir nicht nach» = я на тебя не в обиде|Он до сих пор держит на меня обиду.

=führen|вести
führen|вести; руководить (делом); вести (список)|«das führt zu nichts» = это ни к чему не приведёт|Дорога ведёт к озеру.
ausführen|выполнять, осуществлять; экспортировать; выгуливать (собаку)|IT: «ein Programm ausführen» = запустить программу|План выполнили сразу.
einführen|вводить (правило, продукт); импортировать|«eine Regel einführen» — язык регламентов|Фирма вводит новую систему.
durchführen|проводить (исследование, мероприятие)|любимое слово чиновника: всё «durchgeführt» = проведено|Мы проводим опрос.
verführen|соблазнять; искушать|реклама и десерты: «verführerisch» = соблазнительный|Запах так и тянет перекусить.
aufführen|ставить (спектакль); перечислять; безобразничать (sich aufführen)|«führ dich nicht so auf!» = не устраивай сцен|Спектакль идёт сегодня.
anführen|возглавлять; приводить (довод, цитату)|«Gründe anführen» — аргументация|Он возглавляет таблицу.
abführen|уводить (при аресте); отчислять (налоги); слабить|«Steuern abführen» — язык расчётного листка|Налоги отчисляются автоматически.
vorführen|демонстрировать, показывать; выставлять на посмешище|«jemanden vorführen» = опозорить кого-то прилюдно|Он демонстрирует новый прибор.
entführen|похищать, угонять|язык новостей; ещё игриво «jemanden entführen» = умыкнуть кого-то|Самолёт угнали.

=schließen|закрывать
schließen|закрывать; заключать (вывод)|«daraus schließe ich…» = отсюда я делаю вывод…|Магазин закрывается в восемь.
beschließen|решать, постановлять; завершать|слово формальных решений — парламенты и комитеты|Мы решили остаться.
entschließen|решиться (только sich entschließen zu)|весомее, чем «entscheiden» — это решимость, а не выбор|Я решился уволиться.
abschließen|запирать; завершать; заключать (страховку)|«einen Vertrag abschließen» — язык договоров|Ты запер дверь?
anschließen|подключать; присоединяться (sich anschließen)|«da schließe ich mich an» = присоединяюсь|Подключи принтер.
ausschließen|исключать; отчислять|«das ist nicht auszuschließen» = этого нельзя исключать|Я этого не исключаю.
einschließen|включать в себя; запирать внутри|«inklusive» в прозе: «Frühstück eingeschlossen» = завтрак включён|В цену включено всё.
erschließen|осваивать (землю, рынок); делать вывод|градостроение и данные: «neue Märkte erschließen» = осваивать новые рынки|Район сейчас осваивают.
verschließen|запирать, закупоривать; закрываться от чего-л.|«sich einer Idee verschließen» = не желать слышать об идее|Он закрывается от правды.
aufschließen|отпирать; догонять (в гонке)|физическая противоположность abschließen|Откроешь мне дверь?

=werfen|бросать
werfen|бросать, кидать|«einen Blick werfen» = бросить взгляд|Брось мне мяч!
vorwerfen|упрекать, обвинять (jemandem etwas)|«ich werfe dir nichts vor» = я тебя ни в чём не упрекаю|Его обвиняют в мошенничестве.
entwerfen|проектировать, набрасывать|глагол дизайнера: отсюда «ein Entwurf» = эскиз, черновик|Она проектирует мебель.
verwerfen|отвергать, отбрасывать (идею, план)|«den Plan wieder verworfen» — лексика обсуждений|Идею быстро отвергли.
wegwerfen|выбрасывать|отсюда же «Wegwerfgesellschaft» = общество одноразовых вещей|Не выбрасывай это, пожалуйста.
abwerfen|сбрасывать (с высоты); приносить (прибыль)|«Gewinn abwerfen» — инвестиционный немецкий|Вклад почти не приносит процентов.
einwerfen|опускать (письмо); вставлять (реплику); разбивать (окно)|«darf ich kurz einwerfen…» = позволю себе вставить|Опустишь письмо?
umwerfen|опрокидывать; сражать наповал|«das wirft mich um» = это меня сражает|Новость меня сразила.
unterwerfen|покорять; подчиняться (sich unterwerfen)|регистр учебника истории|Они покорили всю страну.
auswerfen|забрасывать (сеть); выделять, выплачивать|рыбалка и финансы|Сеть забрасывают.

=treten|ступать, пинать
treten|ступать; пинать|с «hat», когда пинают, и с «ist», когда куда-то ступают|Он наступил мне на ногу.
auftreten|выступать; возникать (о проблеме)|«Fehler treten auf» — баг-репорты по-немецки|Группа играет сегодня вечером.
eintreten|входить; вступать (в организацию); наступать, случаться|«bitte eintreten» = входите, надпись на двери|Такого случая так и не было.
austreten|выходить (из организации); выйти на минутку|«aus der Kirche austreten» — в Германии это настоящее жизненное событие|Он вышел из партии.
betreten|входить, ступать на|таблички: «Betreten verboten» = вход воспрещён|Вход на стройплощадку запрещён.
vertreten|представлять, замещать; придерживаться (мнения)|«ich vertrete dich morgen» = завтра я тебя подменю|Кто тебя подменяет, пока тебя нет?
zurücktreten|уходить в отставку; отступить назад|глагол политических заголовков|Министр подал в отставку.
übertreten|нарушать (закон)|юридический регистр; отделяемое «übertreten» — это перейти на другую сторону|Он нарушил закон.
antreten|приступать (к работе, к пути); выходить на старт|«eine Stelle antreten» = приступить к должности|Она выходит на новую работу в мае.
beitreten|вступать, присоединяться (+D)|официальное вступление: профсоюзы, договоры, клубы|Он вступил в клуб.

=finden|находить
finden|находить; считать, полагать|«ich finde das gut» = по-моему, это хорошо — так немцы высказывают мнение|Как тебе фильм?
stattfinden|состояться, проходить|глагол афиш: «findet nicht statt» = отменено|Концерт состоится завтра.
erfinden|изобретать; выдумывать|«das hast du erfunden!» = ты это выдумал|Кто изобрёл телефон?
befinden|находиться (sich befinden); признавать, счесть|«sich befinden» = находиться, официальное «быть» с табличек и объявлений|Выход слева.
empfinden|чувствовать, ощущать|глубже, чем «fühlen»: «als unangenehm empfinden» = воспринимать как неприятное|Я испытываю большое уважение.
herausfinden|выяснять, узнавать|«das finde ich raus» — обычное слово про «разберусь»|Я выяснил почему.
abfinden|смиряться (sich abfinden mit); выплачивать компенсацию|«damit muss ich mich abfinden» = придётся с этим смириться|Он с этим смирился.
vorfinden|застать, обнаружить по прибытии|слегка официальное, отчёты и проверки|Мы застали пустой дом.

=brechen|ломать
brechen|ломать; нарушать (обещание), побить (рекорд)|«ein Versprechen brechen» = нарушить обещание; «sich den Arm brechen» = сломать руку|Он сломал ногу.
unterbrechen|прерывать|«darf ich kurz unterbrechen?» — этикет совещаний|Извините, что перебиваю.
abbrechen|прерывать, отменять; отламывать|IT: «den Vorgang abbrechen» = отменить операцию|Нам пришлось прервать поездку.
ausbrechen|вспыхивать (о войне, пожаре); бежать (из тюрьмы); разразиться|«in Tränen ausbrechen» = расплакаться|Вспыхнул пожар.
